date,currp,openp,highp,lowp,change
2017_ 03_ 07_,1150.67,1154.15,1158.11,1145.19,0.00
2017_ 03_ 06_,1155.15,1151.41,1159.40,1151.12,0.00
2017_ 03_ 03_,1152.32,1149.71,1159.85,1146.70,0.00
2017_ 03_ 02_,1150.71,1139.23,1152.53,1138.79,0.01
2017_ 03_ 01_,1140.23,1136.39,1146.42,1136.00,0.00
2017_ 02_ 28_,1137.80,1133.65,1138.19,1123.56,0.00
2017_ 02_ 27_,1134.65,1129.50,1135.21,1128.29,0.00
2017_ 02_ 24_,1130.50,1132.09,1134.80,1126.90,0.00
2017_ 02_ 23_,1133.10,1137.48,1142.70,1128.19,0.00
2017_ 02_ 22_,1138.48,1141.89,1145.83,1136.69,0.00
2017_ 02_ 21_,1142.89,1144.37,1149.81,1140.59,0.00
2017_ 02_ 20_,1145.38,1149.61,1151.57,1143.89,0.00
2017_ 02_ 17_,1150.78,1140.99,1152.68,1140.49,0.01
2017_ 02_ 16_,1141.99,1134.27,1144.04,1132.74,0.01
2017_ 02_ 15_,1135.28,1137.89,1146.01,1132.19,0.00
2017_ 02_ 14_,1138.89,1148.71,1151.40,1133.59,-0.01
2017_ 02_ 13_,1149.71,1145.59,1155.40,1145.17,0.00
2017_ 02_ 10_,1146.60,1150.02,1155.40,1144.69,0.00
2017_ 02_ 09_,1151.02,1144.20,1152.28,1141.92,0.01
2017_ 02_ 08_,1145.20,1142.39,1149.56,1141.16,0.00
2017_ 02_ 07_,1143.39,1133.59,1148.48,1132.19,0.01
2017_ 02_ 06_,1134.99,1137.36,1141.01,1130.10,0.00
2017_ 02_ 03_,1138.52,1143.09,1149.51,1133.16,0.00
2017_ 02_ 02_,1144.10,1152.71,1155.20,1136.63,-0.01
2017_ 02_ 01_,1153.71,1150.65,1159.40,1148.89,0.00
2017_ 01_ 31_,1151.65,1169.71,1171.11,1146.99,-0.02
2017_ 01_ 30_,1170.71,1177.40,1179.43,1168.59,-0.01
2017_ 01_ 27_,1178.82,1170.99,1180.93,1169.69,0.01
2017_ 01_ 26_,1172.39,1161.70,1173.12,1155.30,0.01
2017_ 01_ 25_,1162.70,1169.23,1170.35,1160.67,-0.01
2017_ 01_ 24_,1170.23,1162.23,1170.77,1159.76,0.01
2017_ 01_ 23_,1163.23,1174.35,1176.01,1161.79,-0.01
2017_ 01_ 20_,1175.39,1174.18,1178.45,1167.63,0.00
2017_ 01_ 19_,1175.18,1177.37,1181.53,1173.36,0.00
2017_ 01_ 18_,1178.38,1159.83,1178.95,1159.39,0.02
2017_ 01_ 17_,1160.84,1182.37,1188.11,1159.15,-0.02
2017_ 01_ 16_,1183.38,1174.05,1185.55,1174.04,0.01
2017_ 01_ 13_,1175.00,1174.91,1181.40,1170.77,0.00
2017_ 01_ 12_,1175.91,1186.87,1188.18,1170.30,-0.01
2017_ 01_ 11_,1187.88,1200.79,1203.36,1183.49,-0.01
2017_ 01_ 10_,1201.80,1202.35,1204.26,1193.08,0.00
